time	score	note
2013/12/08 11:02:10	6	pleases Bosporus cartoons segment
2014/04/09 00:20:54	3	goings
2013/12/25 06:26:29	6	plebian addicts forcefulness graphic grail
2014/06/07 08:24:12	3	smelly
2014/08/12 15:33:12	4	stud
2013/12/13 06:51:17	6	boastfully secrecy
2014/06/07 00:27:56	3	insistence quaternary goaded mantlepiece
2014/02/25 14:02:07	5	quay attitude
2013/10/12 10:01:15	7	transistorizing
2014/06/10 08:09:54	9	prompts Fulbrights crafty
2014/01/19 11:42:32	6	aviators decomposes
2013/11/27 13:05:39	3	poured incredible trips retry
2014/05/24 17:02:53	5	Durham developmental coopers
2014/06/26 11:31:08	4	Bette strutting Northampton today
2013/12/02 19:08:30	10	flatter subdirectory domesticating
2014/07/04 00:29:37	3	Carlisle browbeaten ferociousness
2014/05/07 10:09:19	5	grader pulling bylaw grave released
2014/02/18 09:45:55	1	transitory
2014/08/21 20:03:43	3	shone satanic
2013/09/21 03:55:39	6	reanalyzes interrelated bespoke added
2013/12/29 14:13:06	5	married bimodal dusky hangovers crazy
2014/03/06 11:13:46	4	inhabiting calmed shipmate translator
2014/06/08 07:30:34	1	Davison walling withers jostling
2014/05/25 05:10:48	3	soften strays poisons canner
2013/11/28 19:12:02	8	moduli Derek antiques flux grotesque
2014/03/29 23:54:57	1	distance
2013/11/15 20:54:30	10	laughter strategist
2014/02/05 09:46:30	6	downfall pessimism sculpts suitableness consumers
2014/01/06 14:50:33	10	hears incidentals sharpest
2014/06/09 06:55:40	10	loaned dote Hebe squirm
2014/06/10 05:17:30	9	soars biologists necessitation
2014/09/09 18:02:59	1	mains align madam
2013/11/08 12:54:01	5	troubling Cooley nourish
2013/12/18 17:48:36	8	peaks freeness resolve
2013/11/28 00:00:24	4	indulge pumpkins laid provokes
2014/06/24 12:36:24	7	Spartanize arachnid debuggers denotational Orville
2014/04/11 01:56:27	4	byways eavesdropping thunders scouted
2014/01/22 05:24:47	2	secreting snouts
2014/07/18 01:40:33	9	driven interconnecting grind
2014/03/03 20:49:23	5	protestation
2014/05/07 21:41:14	9	Ali oral Nina sparrows
2014/08/31 02:11:49	5	implementer thump ossify syrup
2014/06/25 17:03:36	10	relics
2014/04/16 06:33:18	6	forbears conflicting deliberative preinitialize nudged
2014/03/26 20:31:47	6	Episcopalianize Veronica
2014/04/10 23:50:24	9	birthplace canvasser incredible postcondition engenders
2014/06/25 06:46:12	1	flail mountainous
2013/10/01 17:11:40	8	northeastern eliminations Cupid reconfigurations manage
2014/02/26 00:56:34	5	Appleby infirmary
2013/11/01 11:51:15	7	cremation shipyard
2014/05/31 17:06:53	6	sophistication
2014/06/17 03:56:21	4	Gatsby
2014/02/15 13:51:38	5	awaking wooded
2014/04/04 11:02:07	9	perfectness dyne Brindisi compression tours
2013/10/17 10:09:37	2	gaseously Lola rhyming lexicons
2013/09/16 09:19:01	10	Russia
2013/10/30 19:21:40	3	DiMaggio Diana blemishes conquerors
2013/11/11 23:03:05	7	apricots
2014/06/27 23:04:33	8	whooped mural
2014/06/10 07:02:28	9	cytoplasm prints
2014/01/30 22:01:01	2	rhombus additional
2014/08/29 20:09:12	7	supersede Heinrich
2014/02/04 12:32:36	8	participle unities overwritten cowering daytime
2014/05/13 00:31:26	3	grease
2014/03/06 14:02:02	5	reuniting Brunhilde
2014/08/04 10:16:07	4	fecund
2014/04/28 17:59:44	8	probing unwillingly pacifies barbarities flunked
2013/09/15 10:03:10	7	fobbing chording deviates NATO
2014/06/10 07:58:05	9	violinists
2014/03/03 23:37:52	7	Caesarizes harlot Angie appertains
2013/12/30 05:24:23	5	bloods
2014/05/07 20:29:38	5	Statler
2014/08/04 03:41:05	5	romper constitutive belied
2014/04/23 08:53:51	4	frisked
2014/02/28 20:25:09	7	oscillation naked suspicions progressive
2014/05/27 12:29:10	7	germicide
2014/05/13 04:15:43	4	councils ostentatious meaningfulness consume
2014/03/01 04:15:41	9	found autumnal philosophizing keypads gears
2014/03/02 11:18:10	10	skewers
2014/05/03 14:16:54	4	cosine neckties attenders caving confronter
2014/07/02 16:01:00	9	Suez
2014/07/09 21:19:01	7	surrendered Hubbell bottlers revolution overt
2014/07/05 06:39:23	3	ships
2014/08/21 08:12:18	8	accede psychopath
2014/07/08 22:31:18	8	divert
