time,score,note
9/12/2013 4:20:55,5,angrier acknowledger coatings
9/12/2013 18:18:38,9,cocked
9/15/2013 5:15:26,9,Karen ellipsoids orientation
9/15/2013 5:22:41,1,pithes continuance
9/15/2013 10:03:10,7,fobbing chording deviates NATO
9/16/2013 9:19:01,10,Russia
9/17/2013 13:30:50,1,enders Procrusteanize unguarded
9/19/2013 2:19:37,7,Niccolo coded
9/21/2013 3:55:39,6,reanalyzes interrelated bespoke added
9/22/2013 17:21:09,7,rumpled Brillouin stifle steel damping
9/24/2013 3:28:37,4,military firmed Nilsen adulterous appealingly
9/24/2013 7:01:12,7,Shakespearean feared schematics
9/24/2013 17:14:38,4,disqualify rulings
9/28/2013 6:54:01,6,thunderbolts
9/29/2013 19:34:13,8,chemically opals
10/1/2013 17:11:40,8,northeastern eliminations Cupid reconfigurations manage
10/1/2013 19:27:16,7,liken Horace
10/4/2013 1:30:53,9,overtaking hoes startle railroader
10/7/2013 8:01:59,8,partridges directrices brawl Larsen makings
10/7/2013 12:28:05,2,regional octaves losses
10/8/2013 2:05:34,7,designators Cyprian
10/10/2013 7:17:06,7,stomaching Velasquez patiently perilous furnishes
10/11/2013 21:16:22,4,global Eleazar aquifer taller
10/12/2013 10:01:15,7,transistorizing
10/14/2013 8:31:33,4,nonspecialist Blum wavefronts submariners sing
10/15/2013 12:47:45,5,subsisted startup Hitlerites
10/16/2013 9:47:38,5,Joliet spatula lost global
10/16/2013 9:57:08,7,sprinting dative tillable awkwardly
10/17/2013 10:09:37,2,gaseously Lola rhyming lexicons
10/18/2013 6:07:53,7,caldera lifelessness
10/18/2013 7:42:16,3,overloading Newmanizes airfield
10/18/2013 12:45:35,3,posterity proclivities
10/18/2013 16:06:23,4,ceasing eager midday potential forestalls
10/18/2013 17:46:47,1,faintness Draco atonement craftspeople
10/18/2013 22:21:38,1,pined piano rearranged Daly terminated
10/19/2013 0:52:23,7,tonics proposal
10/19/2013 12:17:37,9,encouragements treasuries Carlo Capet
10/21/2013 21:20:36,10,apply image hiker
10/22/2013 4:52:16,4,disposer precariously
10/22/2013 14:34:04,3,falsehood quits championing underplayed
10/22/2013 17:54:01,3,wiles interrogative
10/23/2013 17:49:02,6,telegraph Victoria stipulation synopses astronomers
10/24/2013 16:03:11,2,rink
10/25/2013 15:39:00,6,pioneer
10/29/2013 9:03:45,2,Stevenson Adrian rawness purporting
10/30/2013 19:21:40,3,DiMaggio Diana blemishes conquerors
11/1/2013 4:51:12,10,thud sediments cohesive temporaries circumventable
11/1/2013 11:51:15,7,cremation shipyard
11/2/2013 6:25:18,3,regents
11/8/2013 12:54:01,5,troubling Cooley nourish
11/10/2013 10:12:18,6,stockroom drifting sheen mutterer
11/10/2013 14:47:45,1,positron pilgrims claimed broadenings
11/10/2013 16:56:05,6,pedigree rugs Denver blanketing Lucian
11/11/2013 22:52:07,2,flexible opulent impersonally blacker
11/11/2013 23:03:05,7,apricots
11/12/2013 20:42:50,7,question differ acrid gladden
11/15/2013 10:02:50,7,enunciation felony computers amazingly
11/15/2013 20:54:30,10,laughter strategist
11/17/2013 1:37:07,6,perfectness obstructions Hennessy complimented odiousness
11/18/2013 22:24:26,10,blustering facto founds
11/20/2013 6:03:47,5,happiness best epaulets aimed
11/22/2013 15:01:28,4,sprinkles
11/22/2013 18:28:41,2,grossness postlude treatise deviate individualizing
11/24/2013 19:04:20,4,pan port secretary
11/25/2013 19:51:34,1,politic mixing kindle treated Vella
11/25/2013 21:43:10,10,pineapples relabelling passed
11/26/2013 11:10:04,5,commodores situationally Norristown wild
11/27/2013 0:49:32,10,bimetallic bewailing unqualifiedly carton
11/27/2013 13:05:39,3,poured incredible trips retry
11/27/2013 21:58:41,8,papal Maharashtra
11/28/2013 0:00:24,4,indulge pumpkins laid provokes
11/28/2013 16:57:19,2,carnal reappraisal basal
11/28/2013 19:12:02,8,moduli Derek antiques flux grotesque
11/29/2013 6:53:55,6,tailoring
11/29/2013 7:40:36,1,Deanna buffets warring clicked
12/2/2013 19:08:30,10,flatter subdirectory domesticating
12/7/2013 7:10:40,7,defenestrating postman Fijians
12/8/2013 11:02:10,6,pleases Bosporus cartoons segment
12/8/2013 23:49:56,2,counteracted
12/9/2013 23:16:44,1,tastes Molochize
